Scenario,Year,Period,View,Entity,Value,Account,ICP,UD1,UD2,UD3,UD4,Amount
K4Srxtm7Em,zYGfn2Smws,2RQ8NJ0MUU,7rSPoXI4Zs,izVk4G5iGM,gwWCtLPIWT,KVd33raDWP,TsAGGaGjB2,tJagjiDDXy,2P7BaYhpDZ,D6VPW4m086,X8YGvaBoJp,RfSPqBBxnK
p4KFWZe0mM,AYYZITjPC3,t72lNiQtFP,ORfozj5PXs,YYaVK04ndX,dQHn5QK6yT,49n2yy0Mw1,R49ewYtkRh,1T1f30ulCW,3mPDYPuq0p,RMV5itPNgB,BbNmqGYSBM,QLCPt1aeE1
NzyTPEFtwt,o6nVP2Px8f,wz8aqu6BbT,XH3QAl8VaF,FS9LAtVRf2,nGm2sqGGBe,ZaBsxTcZu4,d0fle3YE5R,hgU2rnsNiN,hEtHbDrldk,fG0s2h39Hn,lyU8liM5AR,mG4DoOCp2L
VcSsTpGBYH,LSsIdelj0P,HWPQ9TQ63d,02CM6a7HTN,FukDSj9jv5,JlRNJQjq26,TVQYfXNGVy,VJV02rbu1f,LMoIEpidFu,XMFK2JHVQp,J2EPhV9Atc,B1Zc9dIKev,v9TlejYQQs
fzWD4v4Jpr,wsjW9PgB3d,lSUNntbaxG,pj7jdTuLer,4eNEHupX0i,Rq15Eg5fwr,FejoJKcFNY,TXXnFyUOW7,eYL3FoJ3nv,HW5HbLzS0c,0bp7AIIV2P,s7qTr2V2km,F2cqetvBXi
8CwrIuTz03,9lyMQ2Zrhk,jEphLEWOgF,B82zGebBpj,TxzO5iPcnD,sR1XbEdp3V,GZyjksm0XN,w0lACVbqPB,trGR1j8WFW,Luz4An6Xdd,gmNA6ymEII,DkfZqZqPRg,rSOrSP0MIu
DcuMOxGkOM,MgJoJXBvWr,sc9PkIRnJD,2OJV111hJo,2rStuRFh48,yL3enuFWEp,xFPh01qzOd,st8o1lpwLa,AmI5MRD3aP,1K1PkLhsEf,rH3GjCMt2f,xydV85zVd1,JPIvcdgruN
aLrbyzGdBv,XUApOylAVV,pEEIx9quaI,7jVaxeXi1h,2RyYKLbCSV,culu7W7Ayg,F2hOEkJQSC,MFfdn6mg4f,BHAxNoAoj1,XuiCeiyGgw,Hqhh6I48kr,v8UzYUGqWM,dBdYcGOc7l
FAaLaD5ywG,luVDPLUcFs,q9J1efNDty,bl8foDnCWK,PS9HsYQxMr,TWXOO4X3ly,d2xqvO4vHC,L6FomwWrcN,g66RpnzzAJ,3e1aMe3Dqw,0Tr4KieSPz,2YLp11ie41,4k0Bmp1eM4
odf2xpuy7c,rIi6cQx546,UuJH1RzvDQ,FC7RQUQ38B,4bxsuTsWoj,DgFz3EBmPq,vmoruKRYgk,2S4ITd109p,5fW8qi78d2,NAjQoAMntv,ZiwB4DBAFS,DzuKeFTIlm,8N72Q95laf
Gpizx0XQ6B,qYcZF4rTl1,9FIRjnMets,m6scXG7Z66,B8ZJ6DpsZ3,N0pYpMkMEX,LfGcYaKULm,mFxhcOW6hZ,TlULnnnW34,548BLNyH9R,90fntef1zP,H9epR2oM2P,ht8E0TKQ8i
NrNQVvagNs,dxffbAfHUN,a2bEJbcOjF,ccNbiJRRMJ,IanZy4th2D,fZMSzuHC2z,xNrmpOqrat,JNIc7zeeVS,iZ7ewkrI2o,YHK7L2tNbu,XLSXVZyAIt,sLPTCRQThS,pOEaBYlYQz
tdIbydk4BR,WzjUqUGi31,KYhK2O1Q5l,JlCUoacY5h,6uR2wQYp1Y,khyY26VUAi,aAeQpKFUnH,2chZ4yM6Xp,XOHKPPyutp,qcvXxElJQE,PpJ6Gg71vU,c5pP2SEmr7,TabUR1wx8U
jTu71zE0aQ,A7YoIwFLiK,chthNmWN8E,QtYn12JyzR,TDbAVBi6ub,gSRbF03B4o,sy66yR9FyP,DoaRES2ah1,tCUBYec1QJ,VX0UsONYht,kRHfuFkPdJ,akN49P8P3Q,TQlFuwLHxD
R35FiSvOgS,q4MzDX5qj6,4zpXXPr6W6,nGet7EUSW3,zQgqfIjb8s,uiN2t4LfoW,KWFsTT8NrS,mmy6UJfQkd,vZEJhnLtn5,JhA5WtoAbT,6NxzHTGso3,8Fu70awiqW,6l542rSoBp
amQrQiliaj,zvG603wxSr,f1YAumdOE4,7JqGylSEpm,ic5bgzRt5M,nWT2PE9u7c,PpjmgG54iG,TRfw9T9EUr,os6VS2xp5A,rsSX9zyVtX,DG5fldHaf2,bz5mU1OnDa,aNYgC1dqHG
4vTUsjzYav,bI4IcTrb08,jMuqM0Dgpw,d0F9fL0UH1,fMeeZjYHHN,nB8j4BDLg0,MWfAhxvzxr,tg3EsJ1vpz,PehXnQJRjZ,FMMYrcHITf,FLswUR6kix,Jjqj69gzyp,pAMqtANbt6
CdsJV3lFUW,dC2eWpqz5M,khRbQ0OX2t,Cw1LuMZI3S,c97irca5K8,157271bZ5p,kOtr7rhG88,ai1EpPRamw,AqHgrGhoAw,EtXcFQJE4U,DhwhqrjRyn,8WPsgGpb32,3MKencrKAV
GKmpYkONOj,Sxb75wVBcI,DTXLNUVWGa,1S4nIWbV8v,JqGfxCDuFM,9hpZbi4Zyd,aiYyISiulf,ZyrLSNZsLf,JyxVYNRHSz,bxBTLnOSv8,ngKKtWn91b,SbxftugIiP,rhpQzbrD9H
RjSWebOuvW,tnDs3Zo2oP,ctSCFSjlxq,K94OPyH0jv,FMc6qkD7gZ,8YlqHrDuEL,QVe6LK0H9Y,q7hahIrKSo,cJY9YHjv26,Hckbe6yMLf,xSrHmOkd4N,2XqhkkO4WU,0Es0zd9y1r
IK5O5ON2fc,onRgQg32fC,IT0UK8ZEmg,6SvtJskQ1z,xe9M45ta78,RaIXHz1IXe,ZSobRxYfGL,G7NgWSYYjC,XqifPGmsZX,YahHDddEVW,HkzVEOVmDH,pLvpLIoITq,sQF50CFgpN
wSlHuKa9gJ,ABXhoODpWb,3J8kXd0zTk,DqiQaLlVHc,5Ka5ycURJb,6PChk3BVpp,Zb8mHgXvsq,tttbFWD4KW,HYmOL9A74K,5gMM0QhheS,xIyZBDL2C3,P6kLqZj6P9,0D3XApsxo3
hUmobTto2L,RlLAMCcLGE,Dy4LG3jq3G,AhjcKFsQGm,Idj4G0rwQ1,7eIwgCvT0K,HHkocVmpD9,g9j5PtOgGC,ASa2qX4KYq,oqVuJMZTMr,AFQUMK96Ac,yGKazLopx8,FD8TIJInz9
2Wxqmvr44r,U4NEFFzzG5,O6ABPPhlgX,WUZzQETK6C,TRivEJQ2St,w29kmJ1ax5,bHAy4Cvmvz,Y0qnmvc7k0,G0RWdWHZPa,b2HL1rJ6dw,FPFI57ar1y,hPgMit3Y5J,zzSLUpU9OD
T34V9l1P9Y,24K2ec66wM,hy864MVctk,hizvQj8Pel,deOJ9sV2OZ,UyHrJDTFYi,a9ckGxBL4P,q0BDkvfVn3,xLd7j8YC4x,lmeGecdfpt,6W6PMUwYCT,GVVvrMsPmp,QlDPrjH28b
cuzvkPqz0k,7duks1qNcL,Mu4jhEM3GD,A638uNuvWn,e1c6vYuPLj,mrQj7DbNGZ,ZCC1qN4T1Q,QSBvRDYhcF,skKeOv3Lle,lT0tBju26g,gSmU3gpCzu,lITLQlt4AC,3peuGuVeJ1
lDHJrAYvLo,nre22jzc7H,5COF2gJrz2,vrNrLA8Gvt,ybbElh7wWS,3wRmIgUdKy,rDt36ZEg6B,KYckktcKNX,CP5FdNIyEs,xLtcjJMpxU,JNzY5yamsg,cT5PeBN744,5JhEtnF6zx
