Scenario,Year,Period,View,Entity,Value,Account,ICP,UD1,UD2,UD3,UD4,Amount
mlyariOd1g,DERS7kjEah,tLKwgvPnpa,yxFgUacrV7,xVPk2e8aFZ,obvfe6bo8n,Df9uIi3WXf,nfkAq9a3xK,yEMu1MPe5g,TMW0Iyemc8,0WBU0Dlf8y,teVPHFN8m0,WiE4YPFpli
SuGTpkId5F,LaoQPKH0E6,as3H77S7UT,L6G38bTNEE,x1bbsc5HFy,5w1B6P7s3C,zg1ZSnu10A,PBe3hvbXzQ,2rUZ1b2ggt,7YntlEXWU3,EpftDHBF6T,lZLAqooURu,pkl2cQPp0w
K7UuD6cbQo,PtPrT9NYoa,84NBAi1AGs,Vou0EWDXOH,CEa8nLKkIr,PE2cCpdvQL,S7em0of8BY,AD9qCTJme4,6XyHI28A1F,KOZ3iboUZw,PBwIscmflO,5gbXODB938,gedOPeHxZ4
gEVMc5mMnc,CW9v4dsxWx,eEzZFg86X1,HQHHwQOcIg,8LWPlWSLEl,3YDir9lCFl,jjTCTa3VAK,Az060MRzqN,HPaLO0guYL,AdfmG8NwIj,0VqbZ5suxP,jUmYfxPQMQ,aaFmPKacbg
DUS4oTJg6N,8wUdJjKCFZ,wKRZritsgj,bHHfeBhKSa,RC2033Fm3v,lgVkfDUtdK,ynubOpmfM1,PehEWBesd5,HRaUiYmU0N,ccJmGNr0gi,wMdPtZSCKn,QfDSFWLfyg,Jc8n6aPMZM
lBKq6uqS7M,sGKf1dKCoA,S9TDXSHWlT,WIJK9v76Zw,iQql7g8Kx8,6EqAfxyvEY,vWEiuOjazr,Xf8Fj7ATEp,0HrwUchpzO,5X5qizIHFj,4E69nKoLzv,QOsmmdXmZN,LtTyQLw6wr
vBEX1S9bIA,W5sc4rA4sC,4RhYDhVcjD,7hkWVbJENP,rUk1IU1gfy,rO8udekJfZ,8z2TPzI5eE,lsZmhVXqM2,CXTN3x3tE8,ke8cb83zUn,reKsB6Ap25,45OC4QtvaS,azfNrzwGV1
kiR9PSGC03,z2U5aIrXUW,WPpWOokutK,c0xL8DB833,M9VQkH5CUn,Z0ePICgN9n,RYQVEOTIqh,G31PrsOnYG,vaS4pMKcvb,n3Qsy6HAwT,rxzWyN755d,xR7dKrCZbt,2hMJDbfKDo
qorcsxXBsr,cMdoZ4QCla,Thl0FwQqpl,nVK6IS2IL5,UgniTEA1Hu,TN8Hcjo6zE,nLnMHODQQM,8khEuwBylF,sD1K8o6kzR,CnbCl0mnqD,LuMo1DnR8k,Xv1osctxQq,8GCOg6vJQM
DxCf3m5xqQ,Ks8KaQuOxB,jGF9zy2egx,wPM6dTMT0I,vnV7WuQH7s,DVOCQgikHW,OgHYzC8BU3,cVanoXt273,csf6ai8Xe9,8rKUUzChSC,JfPSMgtZpF,hLT29nKhGp,bgTePxS17S
