Scenario,Year,Period,View,Entity,Value,Account,ICP,UD1,UD2,UD3,UD4,Amount
NOlxZbop4O,gtyAnlibCo,FlZJd6Nwyl,rMTDVcM6Rc,VbiBcVRzGD,Ik9Nb7pRxZ,EuYzSYboS4,Y3aflZKq0H,znrfiWdCxn,4zHy8Cv87J,I96jQrv0WN,Hv8OdgNUuq,cSiB2zBz67
ZKnD91bTOl,4OCki9JQ8Q,m7RtHwjDqe,vutzDOvYZO,NNvXwUnGZS,oGvDD1LPgf,J4hqlCBfR8,GsqSf5Nqt5,beDCJKeLM9,3rVUJYTQaC,YLnRlRenSZ,F3g8XN44Kt,24omECu6TH
qUqz5Fr7n0,4cUhfGWZT8,q0TC1Ricbx,EJyABaap6w,nkaTwnCoqj,oUYjnd25fy,RBFEtUo4J2,pJObvswHyt,YyGmB6jbv2,0my8EBlO9D,0xBHvekoBQ,QcIyqmm3Qs,gu702anDV2
dxHbeQnQEm,Q25E6dVoAt,R8pJgr7zrI,uiqcNMMAaw,DUR0HMULrC,tN2nBspAnE,AUzzuvk3zu,fDCaDYpbyD,3p823oyz8T,VEg3EwEFdE,HwxG5Cvlfu,4GXColKdWt,mDRCBBs0Cg
ZExgXY39fz,494Cevxh27,hUabge8fBn,JxNdy3t3CI,UKRWuliEwZ,yVWPmZKL1s,Vxs9Qmgdn8,GSGfs89xdd,YtWibEB7dh,YXbEJ3kRb4,4Wh7WuTagQ,KBw7Vco0L8,hHtG1CBtl8
t3VrG8e6HY,DSLYtEoCHL,Q0yqw5ai9J,7FvwZBh3jw,XVIZ6IMqzF,FDViPi2YRC,1LEDDxji4t,ZGfSyZHy5t,04f4lRGaiv,tU8xJRYhV6,kVpXMonZ1l,0XOrr1Fgiz,OQtwzdwyCy
GKhmz5HSWc,ZgVR9emRt1,WlyK5CFvzR,odZylltNb8,EU0EO8LWgu,Tszv2tpHRM,BTtEqtJLcM,UwnmGCRb0v,PHHz9RmZuV,fqNrH3PjBC,jLpsTon6KT,nbCtJ2i6Aw,15te9nzgCU
IYwD2TOH7A,RyMkVcpyzc,0BIwlw9xq3,b2bN45amZA,4QlCU5YOVX,eqqlbqFAwz,gHtLy58Tis,Al0GsN0ZxU,CkpIxTjk11,6BgY547h4v,RPtdSKEVJb,ydipEfpYUO,Zjib1rXTwt
aIPOnlaaO5,zcqR7BjBX2,Q2Co04cZQe,USIUKABb3f,thq1YyQRHq,Ga3QzwJW4p,3FBOGKk6jw,XbC3UEBsHt,ZKnludABbr,HObMU3oRqf,jJQMh8rRru,rBte2N0VRZ,6cJIZpljp8
GQIB7w4HjW,9CK4FpOijd,I8POeluYfI,wodviocqsl,FZYlbyXEAg,uzFu5oLh1r,eVJeGFglqU,OU7lCEjE7J,YhkEmv79rv,7dwOZgw3K6,JDvlj2hHwa,OvAPy6oX3o,0bLYbcav9t
8DfeCdtKOj,TKksL2rmM7,0b6mJO8yh8,h0pCEyksXM,xnihu4oYa4,pZdQwZno56,zvrCBwW7Oe,6s3VyJ6spz,XPqTxTofcl,CMBTOO87IZ,MefRtNHiWC,A94EZBya2i,CbJrApLaek
0kbg83qAH9,USAhex59KK,Lfzna0fg1d,PUWhbl3mFl,udjwglXw9Q,mi3VsOTpHu,5LWppYJJK8,dW81x2GGCg,RvAD4dJJb9,NYBiC9MEzQ,Yaf5wKmV19,CWXm9xq5xh,2ezGxqbTLe
R11shYQhsR,2xvyI873iS,s0OYs1vTZ4,NAaemxAXSH,Dn2RPP5BEU,4Me7dT6FlN,Qyv5x9Tlip,78Avh1u4l5,jVsorgeWFi,xK8PHdPUli,49RQwtKcFb,eNr9ZQMVDb,Nf0x2d8Wd4
02Sr0NSd6w,XudI9iQKul,nNhnUgnGhI,Y0TmbjpbiW,Xymqv1xqEG,HdS9QTozof,eJ1W2MRenS,MVJtFN58AQ,PiRbGphabB,gLzrFQZoSi,CSXaqX7pQi,HevsGIht7v,JmOQvZWDPF
8ZTJlUbHiF,k5ZFvxKTOx,81gi4CpA8R,44ZzwiHbiZ,hbQz1bH5K6,PaJ6Z3Qf2N,GKw6fs1ja3,unxbDKcFIv,1YOTjkTSVg,urpq7YYZFR,fJvgl0Nitu,pdjhGouShW,zcQ3IhVlyq
3kQjXSj8HG,boNVfuWfY8,6SXYkP0Ujw,sHnrn0mxYU,puJKZVyu5L,tgjcXfppnh,91gycumbVo,qaLV1QRbYX,PTwMuFqSUl,6m0H7Nfby3,rkdusEChRC,vTdNeP000b,eLLJTTSC9X
F7L8CAzLMo,N4FLqTujRg,5Umku4swSk,dqA9SSgOFx,PBTjrhFJ41,bynqqtrVmv,lxyrFvoseW,U6feRXbR4F,El4wMYmJCg,1VQMO75Zoh,GunvQm1Gtf,vhUxLksOCF,UFiKWwi5hU
G3kQMMBZXa,kRnCQW6r9w,XfPTC9Uwsi,dS49uOGzrD,TKbdLtL8TG,U296MG5e59,u3jpomARkS,RypAcSSG1d,cQG9A5mmeD,B6Bj7RKBkP,dRisx1C0ZC,4jnCdpL7IF,upxnaCSmqt
9yGlrzdjN2,sJlftnluWQ,yLr4hTbrPI,c9g0cuP6XM,LEzk0fM0rt,7yWUKUTzqa,CweVrvCwXE,sHY1ScKwv7,nANrLpVLq8,LjrlP3h6am,uqDNsnATsw,ALnj9jmZ8J,Gvsro3oZgR
eA9FQeCPmD,NNbgwYkUg4,VL78yV4bdd,KXJ7I07e4X,UJAPXcRqAf,ZtF4hWHdEx,YEzLIEVwrc,iUjnFdUE7h,1xAcrp45Ev,YR5tZFTSuS,hPGjxznmJb,rPJT8LUGmV,MyclOarpPn
hlJxr6lJ4V,aTiG11JH5y,KSd3jFz6BE,Kpwvytpi51,pvp82PcvR4,fiA0PvcVHz,AelAs2Fh4i,PmX0kisbQV,amUmOCbDNQ,zaYqfXGsOK,wrNGAopPSp,Kfe7MrQiwd,IVJpELeYmI
bJM0AcqSAy,HuXVCoPQtt,cYyqKwYohH,m71hTIGW3E,1BCf3dv8b9,xOWujmeAPU,IZy1Hh2W7P,EUCWgor53T,qxK70YTyR3,u03SygUUTt,Y0HjR7dmR7,Mt07eQ9Vbt,lX8qUyScWC
rH8i7zHcRo,OcnbI40XcO,sPDjOtgUeN,tbno2mdT9L,QIHU0bTXAc,ZUoUjnxM3R,TNQGjmvkVr,1C0klYfUlR,DoDJk7G2tw,mUeXHQi3ot,E7xCakhBLW,1uonqnqswx,YUfSR33xpQ
ZBzds3PPc2,iVZrQVPb0Y,iunJzb4hCM,lQ0jJCXjSY,zO5osQuzjB,iqKUozWhu4,GDqUg5RGkN,a0DOeXDAKG,upxNkSjQAU,BgmbSIuO9F,lT6n2NKt8j,C0AblLKjfW,JqvtizkpAi
6OKv9qQXZr,TRyFJHqgyN,VMr1c4imZd,Nx8Tu2qjr0,XSj3dOLATt,gbq9d3Rh0z,VuZHes3mvj,fo9rbn1Jsc,CX10LDOga8,C3QbFwfwEv,V4CR9rldah,CFV5jFr7X5,GVPjV8Hmne
6QhjeRQt75,HAuo7F2zuK,GkaMHvdszp,CbCeYeJzGg,Rbm7yW7UWO,jRGI0ZrkBF,dbMpsqfq6B,Lw7PUCs3Fq,h9oTpS2r1M,HjaHSXuk9t,GSIjJ9889W,jq7FMPVW1L,2l9uUa4njO
bjFkgjoMyY,95VCEkidq3,wcgyd5mMbo,fDlzvdS6gf,4UevLhOlNG,KCmvmyIwZA,CnMxdNheKu,vjlPhOZCzZ,LQuP2wLQcy,aplKb1hX7x,wxsLp05odY,CxZEAhZNUv,j5qabZDfnJ
